county,precinct,office,district,candidate,party,votes
Wayne,"City of Detroit, Precinct 168",Ballots Cast,"","","",142
Wayne,"City of Detroit, Precinct 169",Ballots Cast,"","","",97
Wayne,"City of Detroit, Precinct 170",Ballots Cast,"","","",142
Wayne,"City of Detroit, Precinct 171",Ballots Cast,"","","",86
Wayne,"City of Detroit, Precinct 172",Ballots Cast,"","","",132
Wayne,"City of Detroit, Precinct 173",Ballots Cast,"","","",47
Wayne,"City of Detroit, Precinct 174",Ballots Cast,"","","",154
Wayne,"City of Detroit, Precinct 175",Ballots Cast,"","","",118
Wayne,"City of Detroit, Precinct 176",Ballots Cast,"","","",125
Wayne,"City of Detroit, Precinct 177",Ballots Cast,"","","",240
Wayne,"City of Detroit, Precinct 178",Ballots Cast,"","","",170
Wayne,"City of Detroit, Precinct 179",Ballots Cast,"","","",240
Wayne,"City of Detroit, Precinct 180",Ballots Cast,"","","",72
Wayne,"City of Detroit, Precinct 181",Ballots Cast,"","","",74
Wayne,"City of Detroit, Precinct 182",Ballots Cast,"","","",280
Wayne,"City of Detroit, Precinct 183",Ballots Cast,"","","",154
Wayne,"City of Detroit, Precinct 184",Ballots Cast,"","","",245
Wayne,"City of Detroit, Precinct 185",Ballots Cast,"","","",88
Wayne,"City of Detroit, Precinct 186",Ballots Cast,"","","",94
Wayne,"City of Detroit, Precinct 187",Ballots Cast,"","","",183
Wayne,"City of Detroit, Precinct 188",Ballots Cast,"","","",158
Wayne,"City of Detroit, Precinct 189",Ballots Cast,"","","",169
Wayne,"City of Detroit, Precinct 190",Ballots Cast,"","","",184
Wayne,"City of Detroit, Precinct 191",Ballots Cast,"","","",196
Wayne,"City of Detroit, Precinct 192",Ballots Cast,"","","",177
Wayne,"City of Detroit, Precinct 193",Ballots Cast,"","","",145
Wayne,"City of Detroit, Precinct 194",Ballots Cast,"","","",152
Wayne,"City of Detroit, Precinct 195",Ballots Cast,"","","",122
Wayne,"City of Detroit, Precinct 196",Ballots Cast,"","","",137
Wayne,"City of Detroit, Precinct 197",Ballots Cast,"","","",76
Wayne,"City of Detroit, Precinct 198",Ballots Cast,"","","",79
Wayne,"City of Detroit, Precinct 199",Ballots Cast,"","","",76
Wayne,"City of Detroit, Precinct 200",Ballots Cast,"","","",149
Wayne,"City of Detroit, Precinct 201",Ballots Cast,"","","",180
Wayne,"City of Detroit, Precinct 202",Ballots Cast,"","","",127
Wayne,"City of Detroit, Precinct 203",Ballots Cast,"","","",128
Wayne,"City of Detroit, Precinct 204",Ballots Cast,"","","",198
Wayne,"City of Detroit, Precinct 205",Ballots Cast,"","","",111
Wayne,"City of Detroit, Precinct 206",Ballots Cast,"","","",133
Wayne,"City of Detroit, Precinct 207",Ballots Cast,"","","",234
Wayne,"City of Detroit, Precinct 208",Ballots Cast,"","","",171
Wayne,"City of Detroit, Precinct 209",Ballots Cast,"","","",137
Wayne,"City of Detroit, Precinct 210",Ballots Cast,"","","",133
