county,precinct,office,district,candidate,party,votes,unofficial
Tioga,Candor - 1,State Senate,52,Thomas Daniel Quiter,LBT,72,NA
Tioga,Candor - 1,State Senate,52,Frederick J. Akshar II,IND,29,NA
Tioga,Candor - 1,State Senate,52,WriteIn,,2,NA
Tioga,Candor - 1,State Senate,52,Voids,,0,NA
Tioga,Candor - 1,State Senate,52,Blanks,,144,NA
Tioga,Candor - 2,State Senate,52,Frederick J. Akshar II,REP,305,NA
Tioga,Candor - 2,State Senate,52,Frederick J. Akshar II,CON,38,NA
Tioga,Candor - 2,State Senate,52,Thomas Daniel Quiter,LBT,28,NA
Tioga,Candor - 2,State Senate,52,Frederick J. Akshar II,IND,18,NA
Tioga,Candor - 2,State Senate,52,WriteIn,,0,NA
Tioga,Candor - 2,State Senate,52,Voids,,0,NA
Tioga,Candor - 2,State Senate,52,Blanks,,38,NA
Tioga,Candor - 3,State Senate,52,Frederick J. Akshar II,REP,441,NA
Tioga,Candor - 3,State Senate,52,Frederick J. Akshar II,CON,26,NA
Tioga,Candor - 3,State Senate,52,Thomas Daniel Quiter,LBT,65,NA
Tioga,Candor - 3,State Senate,52,Frederick J. Akshar II,IND,26,NA
Tioga,Candor - 3,State Senate,52,WriteIn,,3,NA
Tioga,Candor - 3,State Senate,52,Voids,,0,NA
Tioga,Candor - 3,State Senate,52,Blanks,,98,NA
Tioga,Candor - 4,State Senate,52,Frederick J. Akshar II,REP,522,NA
Tioga,Candor - 4,State Senate,52,Frederick J. Akshar II,CON,44,NA
Tioga,Candor - 4,State Senate,52,Thomas Daniel Quiter,LBT,91,NA
Tioga,Candor - 4,State Senate,52,Frederick J. Akshar II,IND,49,NA
Tioga,Candor - 4,State Senate,52,WriteIn,,7,NA
Tioga,Candor - 4,State Senate,52,Voids,,1,NA
Tioga,Candor - 4,State Senate,52,Blanks,,135,NA
Tioga,Newark Valley - 1,State Senate,52,Frederick J. Akshar II,REP,511,NA
Tioga,Newark Valley - 1,State Senate,52,Frederick J. Akshar II,CON,40,NA
Tioga,Newark Valley - 1,State Senate,52,Thomas Daniel Quiter,LBT,63,NA
Tioga,Newark Valley - 1,State Senate,52,Frederick J. Akshar II,IND,38,NA
Tioga,Newark Valley - 1,State Senate,52,WriteIn,,9,NA
Tioga,Newark Valley - 1,State Senate,52,Voids,,0,NA
Tioga,Newark Valley - 1,State Senate,52,Blanks,,78,NA
Tioga,Newark Valley - 2,State Senate,52,Frederick J. Akshar II,REP,357,NA
Tioga,Newark Valley - 2,State Senate,52,Frederick J. Akshar II,CON,23,NA
Tioga,Newark Valley - 2,State Senate,52,Thomas Daniel Quiter,LBT,49,NA
Tioga,Newark Valley - 2,State Senate,52,Frederick J. Akshar II,IND,31,NA
Tioga,Newark Valley - 2,State Senate,52,WriteIn,,3,NA
Tioga,Newark Valley - 2,State Senate,52,Voids,,0,NA
Tioga,Newark Valley - 2,State Senate,52,Blanks,,82,NA
Tioga,Newark Valley - 3,State Senate,52,Frederick J. Akshar II,REP,441,NA
Tioga,Newark Valley - 3,State Senate,52,Frederick J. Akshar II,CON,36,NA
Tioga,Newark Valley - 3,State Senate,52,Thomas Daniel Quiter,LBT,69,NA
Tioga,Newark Valley - 3,State Senate,52,Frederick J. Akshar II,IND,30,NA
Tioga,Newark Valley - 3,State Senate,52,WriteIn,,4,NA
Tioga,Newark Valley - 3,State Senate,52,Voids,,0,NA
Tioga,Newark Valley - 3,State Senate,52,Blanks,,69,NA
Tioga,Nichols - 1,State Senate,52,Frederick J. Akshar II,REP,392,NA
Tioga,Nichols - 1,State Senate,52,Frederick J. Akshar II,CON,21,NA
Tioga,Nichols - 1,State Senate,52,Thomas Daniel Quiter,LBT,59,NA
Tioga,Nichols - 1,State Senate,52,Frederick J. Akshar II,IND,33,NA
Tioga,Nichols - 1,State Senate,52,WriteIn,,3,NA
Tioga,Nichols - 1,State Senate,52,Voids,,0,NA
Tioga,Nichols - 1,State Senate,52,Blanks,,74,NA
Tioga,Nichols - 2,State Senate,52,Frederick J. Akshar II,REP,318,NA
Tioga,Nichols - 2,State Senate,52,Frederick J. Akshar II,CON,20,NA
Tioga,Nichols - 2,State Senate,52,Thomas Daniel Quiter,LBT,33,NA
Tioga,Nichols - 2,State Senate,52,Frederick J. Akshar II,IND,22,NA
Tioga,Nichols - 2,State Senate,52,WriteIn,,2,NA
Tioga,Nichols - 2,State Senate,52,Voids,,0,NA
Tioga,Nichols - 2,State Senate,52,Blanks,,48,NA
Tioga,Nichols - 3,State Senate,52,Frederick J. Akshar II,REP,127,NA
Tioga,Nichols - 3,State Senate,52,Frederick J. Akshar II,CON,9,NA
Tioga,Nichols - 3,State Senate,52,Thomas Daniel Quiter,LBT,14,NA
Tioga,Nichols - 3,State Senate,52,Frederick J. Akshar II,IND,4,NA
Tioga,Nichols - 3,State Senate,52,WriteIn,,1,NA
Tioga,Nichols - 3,State Senate,52,Voids,,0,NA
Tioga,Nichols - 3,State Senate,52,Blanks,,18,NA
Tioga,Owego - 1,State Senate,52,Frederick J. Akshar II,REP,474,NA
Tioga,Owego - 1,State Senate,52,Frederick J. Akshar II,CON,38,NA
Tioga,Owego - 1,State Senate,52,Thomas Daniel Quiter,LBT,110,NA
Tioga,Owego - 1,State Senate,52,Frederick J. Akshar II,IND,48,NA
Tioga,Owego - 1,State Senate,52,WriteIn,,4,NA
Tioga,Owego - 1,State Senate,52,Voids,,0,NA
Tioga,Owego - 1,State Senate,52,Blanks,,131,NA
Tioga,Owego - 2,State Senate,52,Frederick J. Akshar II,REP,455,NA
Tioga,Owego - 2,State Senate,52,Frederick J. Akshar II,CON,33,NA
Tioga,Owego - 2,State Senate,52,Thomas Daniel Quiter,LBT,60,NA
Tioga,Owego - 2,State Senate,52,Frederick J. Akshar II,IND,40,NA
Tioga,Owego - 2,State Senate,52,WriteIn,,5,NA
Tioga,Owego - 2,State Senate,52,Voids,,1,NA
Tioga,Owego - 2,State Senate,52,Blanks,,96,NA
Tioga,Owego - 3,State Senate,52,Frederick J. Akshar II,REP,339,NA
Tioga,Owego - 3,State Senate,52,Frederick J. Akshar II,CON,28,NA
Tioga,Owego - 3,State Senate,52,Thomas Daniel Quiter,LBT,34,NA
Tioga,Owego - 3,State Senate,52,Frederick J. Akshar II,IND,23,NA
Tioga,Owego - 3,State Senate,52,WriteIn,,2,NA
Tioga,Owego - 3,State Senate,52,Voids,,1,NA
Tioga,Owego - 3,State Senate,52,Blanks,,53,NA
Tioga,Owego - 4,State Senate,52,Frederick J. Akshar II,REP,478,NA
Tioga,Owego - 4,State Senate,52,Frederick J. Akshar II,CON,54,NA
Tioga,Owego - 4,State Senate,52,Thomas Daniel Quiter,LBT,88,NA
Tioga,Owego - 4,State Senate,52,Frederick J. Akshar II,IND,47,NA
Tioga,Owego - 4,State Senate,52,WriteIn,,3,NA
Tioga,Owego - 4,State Senate,52,Voids,,1,NA
Tioga,Owego - 4,State Senate,52,Blanks,,115,NA
Tioga,Owego - 5,State Senate,52,Frederick J. Akshar II,REP,143,NA
Tioga,Owego - 5,State Senate,52,Frederick J. Akshar II,CON,7,NA
Tioga,Owego - 5,State Senate,52,Thomas Daniel Quiter,LBT,19,NA
Tioga,Owego - 5,State Senate,52,Frederick J. Akshar II,IND,12,NA
Tioga,Owego - 5,State Senate,52,WriteIn,,3,NA
Tioga,Owego - 5,State Senate,52,Voids,,0,NA
Tioga,Owego - 5,State Senate,52,Blanks,,53,NA
Tioga,Owego - 6,State Senate,52,Frederick J. Akshar II,REP,437,NA
Tioga,Owego - 6,State Senate,52,Frederick J. Akshar II,CON,23,NA
Tioga,Owego - 6,State Senate,52,Thomas Daniel Quiter,LBT,115,NA
Tioga,Owego - 6,State Senate,52,Frederick J. Akshar II,IND,35,NA
Tioga,Owego - 6,State Senate,52,WriteIn,,7,NA
Tioga,Owego - 6,State Senate,52,Voids,,0,NA
Tioga,Owego - 6,State Senate,52,Blanks,,115,NA
Tioga,Owego - 7,State Senate,52,Frederick J. Akshar II,REP,362,NA
Tioga,Owego - 7,State Senate,52,Frederick J. Akshar II,CON,31,NA
Tioga,Owego - 7,State Senate,52,Thomas Daniel Quiter,LBT,95,NA
Tioga,Owego - 7,State Senate,52,Frederick J. Akshar II,IND,40,NA
Tioga,Owego - 7,State Senate,52,WriteIn,,11,NA
Tioga,Owego - 7,State Senate,52,Voids,,0,NA
Tioga,Owego - 7,State Senate,52,Blanks,,153,NA
Tioga,Owego - 8,State Senate,52,Frederick J. Akshar II,REP,179,NA
Tioga,Owego - 8,State Senate,52,Frederick J. Akshar II,CON,15,NA
Tioga,Owego - 8,State Senate,52,Thomas Daniel Quiter,LBT,35,NA
Tioga,Owego - 8,State Senate,52,Frederick J. Akshar II,IND,13,NA
Tioga,Owego - 8,State Senate,52,WriteIn,,6,NA
Tioga,Owego - 8,State Senate,52,Voids,,0,NA
Tioga,Owego - 8,State Senate,52,Blanks,,58,NA
Tioga,Owego - 10,State Senate,52,Frederick J. Akshar II,REP,449,NA
Tioga,Owego - 10,State Senate,52,Frederick J. Akshar II,CON,40,NA
Tioga,Owego - 10,State Senate,52,Thomas Daniel Quiter,LBT,78,NA
Tioga,Owego - 10,State Senate,52,Frederick J. Akshar II,IND,28,NA
Tioga,Owego - 10,State Senate,52,WriteIn,,6,NA
Tioga,Owego - 10,State Senate,52,Voids,,0,NA
Tioga,Owego - 10,State Senate,52,Blanks,,80,NA
Tioga,Owego - 11,State Senate,52,Frederick J. Akshar II,REP,361,NA
Tioga,Owego - 11,State Senate,52,Frederick J. Akshar II,CON,30,NA
Tioga,Owego - 11,State Senate,52,Thomas Daniel Quiter,LBT,30,NA
Tioga,Owego - 11,State Senate,52,Frederick J. Akshar II,IND,29,NA
Tioga,Owego - 11,State Senate,52,WriteIn,,1,NA
Tioga,Owego - 11,State Senate,52,Voids,,0,NA
Tioga,Owego - 11,State Senate,52,Blanks,,43,NA
Tioga,Owego - 12,State Senate,52,Frederick J. Akshar II,REP,243,NA
Tioga,Owego - 12,State Senate,52,Frederick J. Akshar II,CON,24,NA
Tioga,Owego - 12,State Senate,52,Thomas Daniel Quiter,LBT,50,NA
Tioga,Owego - 12,State Senate,52,Frederick J. Akshar II,IND,24,NA
Tioga,Owego - 12,State Senate,52,WriteIn,,3,NA
Tioga,Owego - 12,State Senate,52,Voids,,0,NA
Tioga,Owego - 12,State Senate,52,Blanks,,49,NA
Tioga,Owego - 13,State Senate,52,Frederick J. Akshar II,REP,365,NA
Tioga,Owego - 13,State Senate,52,Frederick J. Akshar II,CON,27,NA
Tioga,Owego - 13,State Senate,52,Thomas Daniel Quiter,LBT,47,NA
Tioga,Owego - 13,State Senate,52,Frederick J. Akshar II,IND,27,NA
Tioga,Owego - 13,State Senate,52,WriteIn,,3,NA
Tioga,Owego - 13,State Senate,52,Voids,,0,NA
Tioga,Owego - 13,State Senate,52,Blanks,,49,NA
Tioga,Owego - 14,State Senate,52,Frederick J. Akshar II,REP,384,NA
Tioga,Owego - 14,State Senate,52,Frederick J. Akshar II,CON,32,NA
Tioga,Owego - 14,State Senate,52,Thomas Daniel Quiter,LBT,65,NA
Tioga,Owego - 14,State Senate,52,Frederick J. Akshar II,IND,28,NA
Tioga,Owego - 14,State Senate,52,WriteIn,,6,NA
Tioga,Owego - 14,State Senate,52,Voids,,0,NA
Tioga,Owego - 14,State Senate,52,Blanks,,70,NA
Tioga,Owego - 15,State Senate,52,Frederick J. Akshar II,REP,574,NA
Tioga,Owego - 15,State Senate,52,Frederick J. Akshar II,CON,34,NA
Tioga,Owego - 15,State Senate,52,Thomas Daniel Quiter,LBT,102,NA
Tioga,Owego - 15,State Senate,52,Frederick J. Akshar II,IND,52,NA
Tioga,Owego - 15,State Senate,52,WriteIn,,7,NA
Tioga,Owego - 15,State Senate,52,Voids,,0,NA
Tioga,Owego - 15,State Senate,52,Blanks,,146,NA
Tioga,Owego - 16,State Senate,52,Frederick J. Akshar II,REP,366,NA
Tioga,Owego - 16,State Senate,52,Frederick J. Akshar II,CON,39,NA
Tioga,Owego - 16,State Senate,52,Thomas Daniel Quiter,LBT,57,NA
Tioga,Owego - 16,State Senate,52,Frederick J. Akshar II,IND,28,NA
Tioga,Owego - 16,State Senate,52,WriteIn,,2,NA
Tioga,Owego - 16,State Senate,52,Voids,,1,NA
Tioga,Owego - 16,State Senate,52,Blanks,,44,NA
Tioga,Owego - 17,State Senate,52,Frederick J. Akshar II,REP,548,NA
Tioga,Owego - 17,State Senate,52,Frederick J. Akshar II,CON,49,NA
Tioga,Owego - 17,State Senate,52,Thomas Daniel Quiter,LBT,108,NA
Tioga,Owego - 17,State Senate,52,Frederick J. Akshar II,IND,64,NA
Tioga,Owego - 17,State Senate,52,WriteIn,,16,NA
Tioga,Owego - 17,State Senate,52,Voids,,0,NA
Tioga,Owego - 17,State Senate,52,Blanks,,162,NA
Tioga,Owego - 18,State Senate,52,Frederick J. Akshar II,REP,276,NA
Tioga,Owego - 18,State Senate,52,Frederick J. Akshar II,CON,17,NA
Tioga,Owego - 18,State Senate,52,Thomas Daniel Quiter,LBT,42,NA
Tioga,Owego - 18,State Senate,52,Frederick J. Akshar II,IND,32,NA
Tioga,Owego - 18,State Senate,52,WriteIn,,4,NA
Tioga,Owego - 18,State Senate,52,Voids,,0,NA
Tioga,Owego - 18,State Senate,52,Blanks,,70,NA
Tioga,Owego - 19,State Senate,52,Frederick J. Akshar II,REP,419,NA
Tioga,Owego - 19,State Senate,52,Frederick J. Akshar II,CON,32,NA
Tioga,Owego - 19,State Senate,52,Thomas Daniel Quiter,LBT,63,NA
Tioga,Owego - 19,State Senate,52,Frederick J. Akshar II,IND,41,NA
Tioga,Owego - 19,State Senate,52,WriteIn,,4,NA
Tioga,Owego - 19,State Senate,52,Voids,,1,NA
Tioga,Owego - 19,State Senate,52,Blanks,,86,NA
Tioga,Richford - 1,State Senate,52,Frederick J. Akshar II,REP,335,NA
Tioga,Richford - 1,State Senate,52,Frederick J. Akshar II,CON,29,NA
Tioga,Richford - 1,State Senate,52,Thomas Daniel Quiter,LBT,63,NA
Tioga,Richford - 1,State Senate,52,Frederick J. Akshar II,IND,35,NA
Tioga,Richford - 1,State Senate,52,WriteIn,,6,NA
Tioga,Richford - 1,State Senate,52,Voids,,0,NA
Tioga,Richford - 1,State Senate,52,Blanks,,71,NA
Tioga,Spencer - 1,State Senate,52,Frederick J. Akshar II,REP,487,NA
Tioga,Spencer - 1,State Senate,52,Frederick J. Akshar II,CON,46,NA
Tioga,Spencer - 1,State Senate,52,Thomas Daniel Quiter,LBT,112,NA
Tioga,Spencer - 1,State Senate,52,Frederick J. Akshar II,IND,41,NA
Tioga,Spencer - 1,State Senate,52,WriteIn,,4,NA
Tioga,Spencer - 1,State Senate,52,Voids,,0,NA
Tioga,Spencer - 1,State Senate,52,Blanks,,170,NA
Tioga,Spencer - 2,State Senate,52,Frederick J. Akshar II,REP,400,NA
Tioga,Spencer - 2,State Senate,52,Frederick J. Akshar II,CON,35,NA
Tioga,Spencer - 2,State Senate,52,Thomas Daniel Quiter,LBT,65,NA
Tioga,Spencer - 2,State Senate,52,Frederick J. Akshar II,IND,29,NA
Tioga,Spencer - 2,State Senate,52,WriteIn,,0,NA
Tioga,Spencer - 2,State Senate,52,Voids,,0,NA
Tioga,Spencer - 2,State Senate,52,Blanks,,137,NA
Tioga,Tioga - 1,State Senate,52,Frederick J. Akshar II,REP,409,NA
Tioga,Tioga - 1,State Senate,52,Frederick J. Akshar II,CON,35,NA
Tioga,Tioga - 1,State Senate,52,Thomas Daniel Quiter,LBT,51,NA
Tioga,Tioga - 1,State Senate,52,Frederick J. Akshar II,IND,27,NA
Tioga,Tioga - 1,State Senate,52,WriteIn,,5,NA
Tioga,Tioga - 1,State Senate,52,Voids,,1,NA
Tioga,Tioga - 1,State Senate,52,Blanks,,91,NA
Tioga,Tioga - 2,State Senate,52,Frederick J. Akshar II,REP,648,NA
Tioga,Tioga - 2,State Senate,52,Frederick J. Akshar II,CON,47,NA
Tioga,Tioga - 2,State Senate,52,Thomas Daniel Quiter,LBT,72,NA
Tioga,Tioga - 2,State Senate,52,Frederick J. Akshar II,IND,28,NA
Tioga,Tioga - 2,State Senate,52,WriteIn,,7,NA
Tioga,Tioga - 2,State Senate,52,Voids,,0,NA
Tioga,Tioga - 2,State Senate,52,Blanks,,119,NA
Tioga,Tioga - 4,State Senate,52,Frederick J. Akshar II,REP,433,NA
Tioga,Tioga - 4,State Senate,52,Frederick J. Akshar II,CON,24,NA
Tioga,Tioga - 4,State Senate,52,Thomas Daniel Quiter,LBT,56,NA
Tioga,Tioga - 4,State Senate,52,Frederick J. Akshar II,IND,31,NA
Tioga,Tioga - 4,State Senate,52,WriteIn,,3,NA
Tioga,Tioga - 4,State Senate,52,Voids,,1,NA
Tioga,Tioga - 4,State Senate,52,Blanks,,68,NA
Tioga,Barton - 1,State Assembly,124,Randy Reid,DEM,204,NA
Tioga,Barton - 1,State Assembly,124,Christopher S. Friend,REP,341,NA
Tioga,Barton - 1,State Assembly,124,Christopher S. Friend,CON,21,NA
Tioga,Barton - 1,State Assembly,124,Christopher S. Friend,IND,14,NA
Tioga,Barton - 1,State Assembly,124,WriteIn,,0,NA
Tioga,Barton - 1,State Assembly,124,Voids,,0,NA
Tioga,Barton - 1,State Assembly,124,Blanks,,37,NA
Tioga,Barton - 2,State Assembly,124,Randy Reid,DEM,242,NA
Tioga,Barton - 2,State Assembly,124,Christopher S. Friend,REP,385,NA
Tioga,Barton - 2,State Assembly,124,Christopher S. Friend,CON,31,NA
Tioga,Barton - 2,State Assembly,124,Christopher S. Friend,IND,21,NA
Tioga,Barton - 2,State Assembly,124,WriteIn,,0,NA
Tioga,Barton - 2,State Assembly,124,Voids,,0,NA
Tioga,Barton - 2,State Assembly,124,Blanks,,38,NA
Tioga,Barton - 3,State Assembly,124,Randy Reid,DEM,95,NA
Tioga,Barton - 3,State Assembly,124,Christopher S. Friend,REP,169,NA
Tioga,Barton - 3,State Assembly,124,Christopher S. Friend,CON,8,NA
Tioga,Barton - 3,State Assembly,124,Christopher S. Friend,IND,11,NA
Tioga,Barton - 3,State Assembly,124,WriteIn,,0,NA
Tioga,Barton - 3,State Assembly,124,Voids,,0,NA
Tioga,Barton - 3,State Assembly,124,Blanks,,21,NA
Tioga,Barton - 4,State Assembly,124,Randy Reid,DEM,162,NA
Tioga,Barton - 4,State Assembly,124,Christopher S. Friend,REP,449,NA
Tioga,Barton - 4,State Assembly,124,Christopher S. Friend,CON,34,NA
Tioga,Barton - 4,State Assembly,124,Christopher S. Friend,IND,22,NA
Tioga,Barton - 4,State Assembly,124,WriteIn,,0,NA
Tioga,Barton - 4,State Assembly,124,Voids,,0,NA
Tioga,Barton - 4,State Assembly,124,Blanks,,42,NA
Tioga,Barton - 5,State Assembly,124,Randy Reid,DEM,93,NA
Tioga,Barton - 5,State Assembly,124,Christopher S. Friend,REP,385,NA
Tioga,Barton - 5,State Assembly,124,Christopher S. Friend,CON,21,NA
Tioga,Barton - 5,State Assembly,124,Christopher S. Friend,IND,18,NA
Tioga,Barton - 5,State Assembly,124,WriteIn,,1,NA
Tioga,Barton - 5,State Assembly,124,Voids,,0,NA
Tioga,Barton - 5,State Assembly,124,Blanks,,22,NA
Tioga,Barton - 7,State Assembly,124,Randy Reid,DEM,158,NA
Tioga,Barton - 7,State Assembly,124,Christopher S. Friend,REP,461,NA
Tioga,Barton - 7,State Assembly,124,Christopher S. Friend,CON,25,NA
Tioga,Barton - 7,State Assembly,124,Christopher S. Friend,IND,11,NA
Tioga,Barton - 7,State Assembly,124,WriteIn,,0,NA
Tioga,Barton - 7,State Assembly,124,Voids,,0,NA
Tioga,Barton - 7,State Assembly,124,Blanks,,43,NA
Tioga,Berkshire - 1,State Assembly,124,Randy Reid,DEM,146,NA
Tioga,Berkshire - 1,State Assembly,124,Christopher S. Friend,REP,450,NA
Tioga,Berkshire - 1,State Assembly,124,Christopher S. Friend,CON,43,NA
Tioga,Berkshire - 1,State Assembly,124,Christopher S. Friend,IND,22,NA
Tioga,Berkshire - 1,State Assembly,124,WriteIn,,0,NA
Tioga,Berkshire - 1,State Assembly,124,Voids,,1,NA
Tioga,Berkshire - 1,State Assembly,124,Blanks,,49,NA
Tioga,Candor - 1,State Assembly,124,Randy Reid,DEM,227,NA
Tioga,Candor - 1,State Assembly,124,Christopher S. Friend,REP,346,NA
Tioga,Candor - 1,State Assembly,124,Christopher S. Friend,CON,27,NA
Tioga,Candor - 1,State Assembly,124,Christopher S. Friend,IND,16,NA
Tioga,Candor - 1,State Assembly,124,WriteIn,,0,NA
Tioga,Candor - 1,State Assembly,124,Voids,,0,NA
Tioga,Candor - 1,State Assembly,124,Blanks,,49,NA
Tioga,Candor - 2,State Assembly,124,Randy Reid,DEM,81,NA
Tioga,Candor - 2,State Assembly,124,Christopher S. Friend,REP,286,NA
Tioga,Candor - 2,State Assembly,124,Christopher S. Friend,CON,27,NA
Tioga,Candor - 2,State Assembly,124,Christopher S. Friend,IND,9,NA
Tioga,Candor - 2,State Assembly,124,WriteIn,,0,NA
Tioga,Candor - 2,State Assembly,124,Voids,,0,NA
Tioga,Candor - 2,State Assembly,124,Blanks,,24,NA
Tioga,Candor - 3,State Assembly,124,Randy Reid,DEM,175,NA
Tioga,Candor - 3,State Assembly,124,Christopher S. Friend,REP,403,NA
Tioga,Candor - 3,State Assembly,124,Christopher S. Friend,CON,26,NA
Tioga,Candor - 3,State Assembly,124,Christopher S. Friend,IND,8,NA
Tioga,Candor - 3,State Assembly,124,WriteIn,,0,NA
Tioga,Candor - 3,State Assembly,124,Voids,,0,NA
Tioga,Candor - 3,State Assembly,124,Blanks,,47,NA
Tioga,Candor - 4,State Assembly,124,Randy Reid,DEM,274,NA
Tioga,Candor - 4,State Assembly,124,Christopher S. Friend,REP,455,NA
Tioga,Candor - 4,State Assembly,124,Christopher S. Friend,CON,31,NA
Tioga,Candor - 4,State Assembly,124,Christopher S. Friend,IND,24,NA
Tioga,Candor - 4,State Assembly,124,WriteIn,,0,NA
Tioga,Candor - 4,State Assembly,124,Voids,,1,NA
Tioga,Candor - 4,State Assembly,124,Blanks,,64,NA
Tioga,Newark Valley - 1,State Assembly,124,Randy Reid,DEM,180,NA
Tioga,Newark Valley - 1,State Assembly,124,Christopher S. Friend,REP,459,NA
Tioga,Newark Valley - 1,State Assembly,124,Christopher S. Friend,CON,31,NA
Tioga,Newark Valley - 1,State Assembly,124,Christopher S. Friend,IND,30,NA
Tioga,Newark Valley - 1,State Assembly,124,WriteIn,,0,NA
Tioga,Newark Valley - 1,State Assembly,124,Voids,,0,NA
Tioga,Newark Valley - 1,State Assembly,124,Blanks,,39,NA
Tioga,Newark Valley - 2,State Assembly,124,Randy Reid,DEM,164,NA
Tioga,Newark Valley - 2,State Assembly,124,Christopher S. Friend,REP,316,NA
Tioga,Newark Valley - 2,State Assembly,124,Christopher S. Friend,CON,17,NA
Tioga,Newark Valley - 2,State Assembly,124,Christopher S. Friend,IND,16,NA
Tioga,Newark Valley - 2,State Assembly,124,WriteIn,,2,NA
Tioga,Newark Valley - 2,State Assembly,124,Voids,,1,NA
Tioga,Newark Valley - 2,State Assembly,124,Blanks,,29,NA
Tioga,Newark Valley - 3,State Assembly,124,Randy Reid,DEM,170,NA
Tioga,Newark Valley - 3,State Assembly,124,Christopher S. Friend,REP,388,NA
Tioga,Newark Valley - 3,State Assembly,124,Christopher S. Friend,CON,35,NA
Tioga,Newark Valley - 3,State Assembly,124,Christopher S. Friend,IND,22,NA
Tioga,Newark Valley - 3,State Assembly,124,WriteIn,,0,NA
Tioga,Newark Valley - 3,State Assembly,124,Voids,,0,NA
Tioga,Newark Valley - 3,State Assembly,124,Blanks,,34,NA
Tioga,Nichols - 1,State Assembly,124,Randy Reid,DEM,180,NA
Tioga,Nichols - 1,State Assembly,124,Christopher S. Friend,REP,343,NA
Tioga,Nichols - 1,State Assembly,124,Christopher S. Friend,CON,13,NA
Tioga,Nichols - 1,State Assembly,124,Christopher S. Friend,IND,16,NA
Tioga,Nichols - 1,State Assembly,124,WriteIn,,0,NA
Tioga,Nichols - 1,State Assembly,124,Voids,,0,NA
Tioga,Nichols - 1,State Assembly,124,Blanks,,30,NA
Tioga,Nichols - 2,State Assembly,124,Randy Reid,DEM,90,NA
Tioga,Nichols - 2,State Assembly,124,Christopher S. Friend,REP,295,NA
Tioga,Nichols - 2,State Assembly,124,Christopher S. Friend,CON,17,NA
Tioga,Nichols - 2,State Assembly,124,Christopher S. Friend,IND,12,NA
Tioga,Nichols - 2,State Assembly,124,WriteIn,,0,NA
Tioga,Nichols - 2,State Assembly,124,Voids,,0,NA
Tioga,Nichols - 2,State Assembly,124,Blanks,,29,NA
Tioga,Nichols - 3,State Assembly,124,Randy Reid,DEM,33,NA
Tioga,Nichols - 3,State Assembly,124,Christopher S. Friend,REP,120,NA
Tioga,Nichols - 3,State Assembly,124,Christopher S. Friend,CON,9,NA
Tioga,Nichols - 3,State Assembly,124,Christopher S. Friend,IND,4,NA
Tioga,Nichols - 3,State Assembly,124,WriteIn,,0,NA
Tioga,Nichols - 3,State Assembly,124,Voids,,0,NA
Tioga,Nichols - 3,State Assembly,124,Blanks,,7,NA
Tioga,Owego - 1,State Assembly,124,Randy Reid,DEM,344,NA
Tioga,Owego - 1,State Assembly,124,Christopher S. Friend,REP,374,NA
Tioga,Owego - 1,State Assembly,124,Christopher S. Friend,CON,25,NA
Tioga,Owego - 1,State Assembly,124,Christopher S. Friend,IND,17,NA
Tioga,Owego - 1,State Assembly,124,WriteIn,,1,NA
Tioga,Owego - 1,State Assembly,124,Voids,,0,NA
Tioga,Owego - 1,State Assembly,124,Blanks,,44,NA
Tioga,Owego - 2,State Assembly,124,Randy Reid,DEM,225,NA
Tioga,Owego - 2,State Assembly,124,Christopher S. Friend,REP,385,NA
Tioga,Owego - 2,State Assembly,124,Christopher S. Friend,CON,27,NA
Tioga,Owego - 2,State Assembly,124,Christopher S. Friend,IND,20,NA
Tioga,Owego - 2,State Assembly,124,WriteIn,,0,NA
Tioga,Owego - 2,State Assembly,124,Voids,,1,NA
Tioga,Owego - 2,State Assembly,124,Blanks,,32,NA
Tioga,Owego - 3,State Assembly,124,Randy Reid,DEM,139,NA
Tioga,Owego - 3,State Assembly,124,Christopher S. Friend,REP,283,NA
Tioga,Owego - 3,State Assembly,124,Christopher S. Friend,CON,33,NA
Tioga,Owego - 3,State Assembly,124,Christopher S. Friend,IND,8,NA
Tioga,Owego - 3,State Assembly,124,WriteIn,,0,NA
Tioga,Owego - 3,State Assembly,124,Voids,,0,NA
Tioga,Owego - 3,State Assembly,124,Blanks,,17,NA
Tioga,Owego - 4,State Assembly,124,Randy Reid,DEM,282,NA
Tioga,Owego - 4,State Assembly,124,Christopher S. Friend,REP,401,NA
Tioga,Owego - 4,State Assembly,124,Christopher S. Friend,CON,47,NA
Tioga,Owego - 4,State Assembly,124,Christopher S. Friend,IND,24,NA
Tioga,Owego - 4,State Assembly,124,WriteIn,,1,NA
Tioga,Owego - 4,State Assembly,124,Voids,,0,NA
Tioga,Owego - 4,State Assembly,124,Blanks,,31,NA
Tioga,Owego - 5,State Assembly,124,Randy Reid,DEM,100,NA
Tioga,Owego - 5,State Assembly,124,Christopher S. Friend,REP,112,NA
Tioga,Owego - 5,State Assembly,124,Christopher S. Friend,CON,8,NA
Tioga,Owego - 5,State Assembly,124,Christopher S. Friend,IND,5,NA
Tioga,Owego - 5,State Assembly,124,WriteIn,,1,NA
Tioga,Owego - 5,State Assembly,124,Voids,,0,NA
Tioga,Owego - 5,State Assembly,124,Blanks,,11,NA
Tioga,Owego - 6,State Assembly,124,Randy Reid,DEM,294,NA
